graph file,number of bags,largest bag size,number of vertice,total number of bag size,smallest bag size,density of edges
regional-transportation-agency-of-central-maryland_20150811_1652.gml.lp.gr.bz2,118.0,6.0,141.0,591.0,3.0,0.012867274569402228
chicago-transit-authority_20151217_1219.gml.lp.gr.bz2,774.0,31.0,894.0,5110.0,4.0,0.0019740913042280124
community-transit_20150319_0942.gml.lp.gr.bz2,140.0,12.0,169.0,832.0,3.0,0.011165116934347704
yakima-transit_20150301_1148_subgraph_metro+bus.gr.bz2,550.0,8.0,564.0,2288.0,3.0,0.002047037778869531
rpsrute@ruter.no_20151217_2005_subgraph_train+metro+tram.gr.bz2,156.0,4.0,166.0,529.0,3.0,0.006279664110989412
mta-maryland-archiver_20111026_0315_subgraph_tram+bus.gr.bz2,6627.0,41.0,6835.0,29995.0,3.0,0.0001761920634788106
dart-archiver_20111024_0319.gml.lp.gr.bz2,838.0,36.0,971.0,6368.0,4.0,0.0018388949642732012
metro-transit-system-city-of-madison_20131009_1415_subgraph_metro+bus.gr.bz2,1988.0,17.0,2053.0,9173.0,3.0,0.0005825165283724003
vm1084.tsp.dgf.bz2,894.0,23.0,1084.0,6619.0,4.0,0.002443840227875963
pr1002.tsp.dgf.bz2,727.0,33.0,1002.0,6923.0,5.0,0.0029631047595119453
ex114.gr.xz,212.0,11.0,268.0,1055.0,4.0,0.006372631225893007
samtrans_20130704_1259_subgraph_metro+bus.gr.bz2,1439.0,12.0,1558.0,6463.0,3.0,0.0008928991024014286
cape-cod-regional-transit-authority_20130620_0312_subgraph_train+metro+tram+bus.gr.bz2,108.0,5.0,128.0,458.0,3.0,0.01236466535433071
stebazzi81_20151219_1954_subgraph_bus.gr.bz2,6446.0,55.0,6736.0,30921.0,3.0,0.0001851567748863931
la-metro_20101211_0848.gml.lp.gr.bz2,1694.0,58.0,1973.0,11656.0,4.0,0.0009481447821451666
charlottesville-transit-service_20151219_0148_subgraph_tram+bus.gr.bz2,327.0,6.0,334.0,1366.0,4.0,0.003335671000341659
games120-pp-002.dgf.bz2,55.0,40.0,104.0,1014.0,9.0,0.053211351755041075
carta_20140520_1901_subgraph_bus.gr.bz2,913.0,9.0,958.0,3812.0,3.0,0.0012783511451713884
broward-county-transit_20150417_1831_subgraph_metro+bus.gr.bz2,3307.0,22.0,3422.0,14252.0,3.0,0.00037901495746609924
ruter.no_20151217_2005_subgraph_metro+tram.gr.bz2,155.0,4.0,166.0,532.0,3.0,0.006279664110989412
graph11-wpp.dgf.bz2,212.0,92.0,313.0,3709.0,6.0,0.013813795363316131
d493.tsp-pp.dgf.bz2,350.0,31.0,488.0,3445.0,6.0,0.0061096711212845455
metro-christchurch_20150918_0928.gr.bz2,1226.0,13.0,1310.0,5252.0,3.0,0.0009995393021886062
nassau-inter-county-express_20131030_1518_subgraph_train+metro+tram+bus.gr.bz2,3155.0,13.0,3240.0,13179.0,3.0,0.0003575253755350493
la-metro_20101211_0848_subgraph_bus.gr.bz2,8148.0,56.0,8537.0,37276.0,3.0,0.00015487465719264475
san-joaquin-regional-transit-district-rtd_20151202_1522.gr.bz2,972.0,19.0,1015.0,4764.0,4.0,0.001308770804792025
DSJC125.9.dgf.bz2,6.0,120.0,125.0,678.0,105.0,0.4490967741935484
jehiah_20081017_1645.normalized_subgraph_train+metro+tram+bus.gr.bz2,191.0,7.0,225.0,752.0,3.0,0.007261904761904762
he058.gr.xz,87.0,25.0,112.0,714.0,5.0,0.013513513513513514
ex069.gr.xz,195.0,13.0,235.0,1218.0,4.0,0.008019639934533552
glendale-beeline_20151202_1859_subgraph_bus.gr.bz2,187.0,6.0,209.0,752.0,3.0,0.0059578579315421425
contiki_httpd-cfs_send_headers.gr.bz2,103.0,4.0,106.0,408.0,3.0,0.010422282120395327
septa_20151217_1207_subgraph_train.gr.bz2,128.0,5.0,155.0,484.0,3.0,0.009426057813154587
stib_20150902_2008_subgraph_tram+bus.gr.bz2,835.0,15.0,888.0,3882.0,3.0,0.0015692129559096864
sheep-pp-minor-0111.dgf.bz2,18.0,93.0,111.0,1398.0,51.0,0.2770679770679771
rijard.barnes_20150215_0640.gml.lp.gr.bz2,1591.0,48.0,1865.0,10392.0,3.0,0.0009673911792794762
wcsp_14.gr.xz,196.0,47.0,298.0,5597.0,5.0,0.04577090818701557
Promedas_21_9.gr.xz,208.0,13.0,253.0,1333.0,4.0,0.007622811970638058
escambia-county-area-transit_20151216_1643.gml.lp.gr.bz2,124.0,9.0,140.0,711.0,4.0,0.012949640287769784
fairfax-connector_20151202_1555_subgraph_train+metro+tram+bus.gr.bz2,1711.0,12.0,1832.0,7551.0,3.0,0.0007745069747364053
cary-transit_20150227_1731_subgraph_train+metro+tram+bus.gr.bz2,178.0,4.0,193.0,717.0,4.0,0.005936960276338514
montgomery-transit_20150915_1412_subgraph_tram+bus.gr.bz2,1260.0,5.0,1312.0,5091.0,3.0,0.0008598677233911927
brampton-transit_20140905_1826_subgraph_train+metro+tram+bus.gr.bz2,2326.0,27.0,2419.0,10733.0,3.0,0.0005070829191700253
Promedas_45_7.gr.xz,126.0,15.0,159.0,853.0,5.0,0.012459199108351245
contiki_contikimac_powercycle.gr.bz2,160.0,6.0,166.0,680.0,3.0,0.007082876962395034
fl1577.tsp.dgf.bz2,1174.0,26.0,1577.0,10425.0,5.0,0.0018657316951482125
port-authority-of-allegheny-county_20140619_0109_subgraph_train+metro+tram+bus.gr.bz2,6110.0,24.0,6318.0,26331.0,3.0,0.0001835342538559607
d657.tsp-pp.dgf.bz2,471.0,33.0,650.0,4521.0,6.0,0.004594050017778831
skagit-transit_20150429_1915_subgraph_tram+bus.gr.bz2,454.0,6.0,473.0,1874.0,3.0,0.0025172895689253593
yuba-sutter-transit_20151216_1736_subgraph_train+metro+tram+bus.gr.bz2,195.0,6.0,216.0,825.0,3.0,0.005857019810508183
marin-transit_20151216_1448_subgraph_metro+bus.gr.bz2,346.0,5.0,396.0,1415.0,3.0,0.0032988108937476025
sonomacounty-ca-us-archiver_20140630_0109.gml.lp.gr.bz2,207.0,7.0,243.0,1088.0,3.0,0.007533244906982281
metro-christchurch_20150918_0928_subgraph_metro+bus.gr.bz2,1230.0,13.0,1310.0,5267.0,3.0,0.0009995393021886062
norwalk-transit_20130330_0324_subgraph_bus.gr.bz2,228.0,6.0,250.0,954.0,3.0,0.00485140562248996
barrie-transit_20150717_0210_subgraph_bus.gr.bz2,462.0,7.0,484.0,2066.0,3.0,0.0028617627431856683
santa-cruz-metro_20151217_1054_subgraph_bus.gr.bz2,722.0,8.0,767.0,3157.0,3.0,0.001730999009398797
transfort_20150423_1439_subgraph_train+metro+tram+bus.gr.bz2,358.0,7.0,389.0,1501.0,3.0,0.003193491108578698
Promedas_30.gr.xz,660.0,80.0,833.0,5853.0,5.0,0.002512062517314618
septa_20151217_1207.gr.bz2,130.0,5.0,155.0,486.0,3.0,0.009426057813154587
soltrans_20151217_1055_subgraph_tram+bus.gr.bz2,317.0,7.0,333.0,1336.0,3.0,0.0038351604616664856
the-metro_20110104_0843_subgraph_metro+bus.gr.bz2,4964.0,34.0,5063.0,21663.0,3.0,0.00022033714587739328
auckland-transport_20140910_0129_subgraph_bus.gr.bz2,5593.0,46.0,6011.0,31326.0,3.0,0.00024655297788773827
dimacs_queen16_16.gr.bz2,64.0,135.0,256.0,3373.0,12.0,0.06712622549019608
spokane-transit-authority_20151217_1018_subgraph_bus.gr.bz2,1106.0,14.0,1163.0,4773.0,3.0,0.0010833161906932483
fort-worth-transportation-authority_20130923_1559.gml.lp.gr.bz2,237.0,10.0,278.0,1272.0,3.0,0.0062982105290496845
soltrans_20151217_1055_subgraph_metro+bus.gr.bz2,317.0,7.0,333.0,1337.0,3.0,0.0038351604616664856
massachusetts-archiver_20151219_0121_subgraph_bus.gr.bz2,6692.0,45.0,6965.0,30323.0,3.0,0.0001764587275426942
county-connection_20151217_1304_subgraph_train+metro+tram+bus.gr.bz2,828.0,9.0,878.0,3518.0,3.0,0.0014714171058407338
guy@connectoos.com_20150906_0927.gr.bz2,1293.0,54.0,1488.0,8999.0,3.0,0.0017074502317576705
crt-lanaudire_20151202_1946_subgraph_train+metro+tram+bus.gr.bz2,403.0,9.0,432.0,1667.0,3.0,0.002765962017702157
roseville-transit_20151202_1741.gr.bz2,199.0,7.0,207.0,854.0,4.0,0.00595656864124572
toronto_2016-01.gml.lp.gr.bz2,2047.0,32.0,2413.0,12831.0,3.0,0.0007733469687066807
sacramento-regional-transit_20151217_1028_subgraph_train+metro+tram+bus.gr.bz2,2975.0,19.0,3034.0,12585.0,3.0,0.0003640464666736651
translink-archiver_20151219_0124.gr.bz2,8497.0,33.0,8746.0,38186.0,3.0,0.0001350613339274463
mldickens_20150211_2214.gr.bz2,2508.0,25.0,2572.0,10931.0,3.0,0.0004668351931127972
jatran_20151202_1718_subgraph_metro+bus.gr.bz2,373.0,4.0,390.0,1491.0,3.0,0.0028804956825522377
Promedas_22_8.gr.xz,184.0,17.0,224.0,1241.0,5.0,0.00882847533632287
southwest-ohio-regional-transit-authority_20121005_1622.gml.lp.gr.bz2,591.0,26.0,688.0,3748.0,4.0,0.0025959683152229104
yolobus-yolo-county_20151216_1734.gr.bz2,529.0,11.0,551.0,2337.0,3.0,0.002200956937799043
pcb442.tsp.dgf.bz2,318.0,25.0,442.0,2868.0,5.0,0.006597510799191472
golden-gate-transit_20151217_1433_subgraph_train+metro+tram+bus.gr.bz2,505.0,8.0,555.0,2195.0,3.0,0.002481542914755911
ex121.gr.xz,126.0,37.0,204.0,1254.0,4.0,0.028107794842074763
he050.gr.xz,134.0,54.0,192.0,3014.0,12.0,0.033540575916230365
york_county_ca_2016-01.gml.lp.gr.bz2,540.0,47.0,637.0,4309.0,4.0,0.002784277716892272
mendocino-transit-authority_20151216_1438.gr.bz2,175.0,6.0,193.0,777.0,3.0,0.007664075993091537
google_transit.gml.lp.gr.bz2,1423.0,34.0,1670.0,10006.0,4.0,0.001096787850302989
asheville-transit-service_20151217_0854_subgraph_train+metro+tram+bus.gr.bz2,435.0,5.0,485.0,1773.0,3.0,0.002530459231490159
connectoos.com_20150906_0927_subgraph_train+metro+tram+bus.gr.bz2,1292.0,54.0,1488.0,8987.0,3.0,0.0017074502317576705
rseau-de-transport-de-la-capitale-rtc_20131119_1739_subgraph_train+metro+tram+bus.gr.bz2,3023.0,22.0,3202.0,13870.0,3.0,0.0004313338215474123
tsp225.tsp.dgf.bz2,160.0,17.0,225.0,1315.0,5.0,0.01234126984126984
utah-transit-authority_20151217_1021.gr.bz2,5923.0,28.0,6050.0,25588.0,3.0,0.000186493498686348
mountain-rides-transportation-authority-mrta_20140624_0104_subgraph_metro+bus.gr.bz2,178.0,8.0,191.0,783.0,3.0,0.0068613943235050975
chicago-transit-authority_20151217_1219_subgraph_metro.gr.bz2,140.0,3.0,145.0,447.0,3.0,0.007375478927203065
metlink-archiver_20150626_0331.gr.bz2,2821.0,12.0,2917.0,12063.0,3.0,0.00040054211323526577
fnl4461.tsp.dgf.bz2,3117.0,80.0,4461.0,33968.0,5.0,0.0006714394709304254
mrc-les-moulins-urbis_20151202_1947_subgraph_train+metro+tram+bus.gr.bz2,643.0,7.0,686.0,2812.0,3.0,0.0019152603690068312
port-authority-of-allegheny-county_20140619_0109_subgraph_bus.gr.bz2,6059.0,23.0,6266.0,26161.0,3.0,0.0001852432553190568
comune-di-milano_20151202_1900_subgraph_metro+bus.gr.bz2,2117.0,15.0,2258.0,9392.0,3.0,0.0006102459310724277
rochester_ny_2015-12-18.gml.lp.gr.bz2,824.0,39.0,988.0,5669.0,3.0,0.002206826394956294
montgomery-transit_20150915_1412.gr.bz2,1258.0,5.0,1312.0,5080.0,3.0,0.0008598677233911927
south-metro-area-regional-transit_20151216_1704_subgraph_bus.gr.bz2,164.0,8.0,177.0,735.0,3.0,0.007447354904982024
Promedas_59_10.gr.xz,158.0,16.0,209.0,1076.0,5.0,0.009109311740890687
kanawha-valley-regional-transportation-authority-krt_20150126_1340_subgraph_bus.gr.bz2,88.0,4.0,104.0,342.0,3.0,0.014002987303958178
ex048.gr.xz,101.0,16.0,238.0,867.0,5.0,0.019093713434740985
sydney-buses_20131202_0139_subgraph_tram+bus.gr.bz2,6156.0,32.0,6695.0,32243.0,3.0,0.00023239296925919636
cit-le-richelain_20150821_1710_subgraph_metro+bus.gr.bz2,233.0,7.0,260.0,1017.0,3.0,0.005152955152955153
bkk_20151219_0150_subgraph_metro+bus.gr.bz2,1805.0,64.0,1938.0,9730.0,3.0,0.0008146181603908036
he099.gr.xz,2242.0,76.0,2835.0,20541.0,6.0,0.0009506633359844369
abq-ride_20151004_0137_subgraph_bus.gr.bz2,1738.0,13.0,1826.0,7366.0,3.0,0.0007694038920313883
trimet-archiver_20151219_0104_subgraph_tram.gr.bz2,153.0,4.0,164.0,508.0,3.0,0.006359419422415083
he037.gr.xz,871.0,38.0,1003.0,4710.0,4.0,0.0016955122655984143
delaware-department-of-transportation_20101101_1838.gml.lp.gr.bz2,475.0,17.0,558.0,2809.0,3.0,0.0033107468967780544
yuba-sutter-transit_20151216_1736_subgraph_metro+bus.gr.bz2,196.0,6.0,216.0,830.0,3.0,0.005857019810508183
jacksonville-transportation-authority_20151216_1632_subgraph_train+metro+tram+bus.gr.bz2,2296.0,13.0,2393.0,9817.0,3.0,0.0005043626407568339
sarasota-county-area-transit_20120511_0303.gml.lp.gr.bz2,199.0,9.0,252.0,1037.0,3.0,0.007525453740593183
everett-transit_20150319_0949_subgraph_tram+bus.gr.bz2,429.0,8.0,452.0,1867.0,3.0,0.0028697290190922826
d1291.tsp-pp.dgf.bz2,888.0,44.0,1290.0,9386.0,6.0,0.0023111479964638172
fairfield-and-suisun-transit_20151216_1546_subgraph_bus.gr.bz2,208.0,7.0,225.0,905.0,3.0,0.005694444444444445
sptrans_20130921_0457_subgraph_train+metro+tram.gr.bz2,145.0,3.0,149.0,480.0,3.0,0.007119535643025576
rabbit-transit_20141105_2006_subgraph_train+metro+tram+bus.gr.bz2,727.0,9.0,754.0,3133.0,3.0,0.0016151133749704983
lakeland_20110518_2050_subgraph_bus.gr.bz2,957.0,6.0,993.0,3947.0,3.0,0.00116643114706169
harford-transit-link_20151202_1855_subgraph_tram+bus.gr.bz2,124.0,5.0,136.0,515.0,3.0,0.010294117647058823
he118.gr.xz,1091.0,931.0,2200.0,100776.0,4.0,0.004857993302740915
omit-sainte-julie_20151202_1945_subgraph_train+metro+tram+bus.gr.bz2,138.0,5.0,152.0,574.0,3.0,0.007973161380271872
south-metro-area-regional-transit_20151216_1704_subgraph_train+metro+tram+bus.gr.bz2,162.0,9.0,177.0,727.0,3.0,0.007447354904982024
c-tran_20151202_1648_subgraph_train+metro+tram+bus.gr.bz2,774.0,13.0,819.0,3344.0,3.0,0.0015568511901030238
contiki_webclient_senddata.gr.bz2,106.0,3.0,108.0,418.0,3.0,0.00943232952578747
corpus-christi-regional-transportation_20130903_2036_subgraph_train+metro+tram+bus.gr.bz2,1156.0,11.0,1204.0,4990.0,3.0,0.0010501155748502498
wcsp_15.gr.xz,60.0,66.0,125.0,1374.0,7.0,0.04748387096774193
north-county-transit-district_20150930_1532_subgraph_bus.gr.bz2,1347.0,9.0,1419.0,5680.0,3.0,0.0009109695041403639
sonomacounty-ca-us-archiver_20151217_1056_subgraph_tram+bus.gr.bz2,744.0,10.0,792.0,3270.0,3.0,0.0017446909039829394
ex107.gr.xz,118.0,15.0,166.0,762.0,4.0,0.014457831325301205
pcb3038.tsp.dgf.bz2,2153.0,63.0,3038.0,22561.0,5.0,0.0009864079252528016
lexpress_20090731_0343_subgraph_tram+bus.gr.bz2,290.0,3.0,299.0,1157.0,3.0,0.0035801665506947095
guy@connectoos.com_20150906_0927.gml.lp.gr.bz2,657.0,54.0,823.0,6643.0,4.0,0.004472983240355592
vslv1p.edge.bz2,310.0,4.0,325.0,1234.0,3.0,0.003789173789173789
rseau-de-transport-de-la-capitale-rtc_20131119_1739.gr.bz2,3033.0,22.0,3210.0,13944.0,3.0,0.00043015700585095077
skagit-transit_20150429_1915_subgraph_train+metro+tram+bus.gr.bz2,453.0,6.0,473.0,1872.0,3.0,0.0025172895689253593
vitoria-gasteiz_2016-01.gml.lp.gr.bz2,88.0,10.0,103.0,576.0,3.0,0.017894536455358843
santa-fe-trails_20120504_1700.gr.bz2,387.0,7.0,404.0,1609.0,3.0,0.002880623049898042
ex029.gr.xz,191.0,11.0,238.0,972.0,4.0,0.007286458887352409
graph06-pp-001.dgf.bz2,113.0,56.0,177.0,1766.0,6.0,0.02526322547508988
cit-des-laurentides_20140107_0139_subgraph_metro+bus.gr.bz2,1230.0,8.0,1295.0,5181.0,3.0,0.000953614245731711
he005.gr.xz,9.0,4.0,13.0,43.0,4.0,0.14102564102564102
bkv-zrt_20120422_0314.gr.bz2,1990.0,93.0,2182.0,12157.0,3.0,0.0008155173986150703
Promedus_16.gr.xz,122.0,14.0,157.0,775.0,4.0,0.010615711252653927
pr439.tsp-pp.dgf.bz2,316.0,23.0,432.0,2911.0,6.0,0.0068585116438944745
tursib_20110626_1306_subgraph_metro+bus.gr.bz2,194.0,11.0,212.0,941.0,3.0,0.006438343914870786
he067.gr.xz,24.0,58.0,81.0,846.0,10.0,0.14938271604938272
ttc_20151217_1257_subgraph_metro+tram.gr.bz2,558.0,5.0,610.0,2088.0,3.0,0.0018277746372715282
ex035.gr.xz,195.0,16.0,247.0,1413.0,4.0,0.013231954181889997
mvta-archiver_20151216_1601_subgraph_bus.gr.bz2,864.0,10.0,890.0,3642.0,3.0,0.0013687895754603708
alexandria-transit-company-dash_20151202_1518_subgraph_metro+bus.gr.bz2,460.0,7.0,481.0,1969.0,3.0,0.002676715176715177
kingston-transit_20140526_1325_subgraph_metro+bus.gr.bz2,832.0,13.0,849.0,3578.0,3.0,0.0013445340800497811
humboldt-archiver_20151216_1436.gr.bz2,239.0,6.0,265.0,1023.0,3.0,0.005031446540880503
municipal-transit-utility_20150309_2012_subgraph_train+metro+tram+bus.gr.bz2,310.0,5.0,330.0,1274.0,3.0,0.00364741641337386
southwest-ohio-regional-transit-authority_20121005_1622_subgraph_metro+bus.gr.bz2,3482.0,27.0,3643.0,15282.0,3.0,0.0003552961205492453
u2152.tsp.dgf.bz2,1485.0,49.0,2152.0,15928.0,5.0,0.001363591586173285
brescia-trasporti-spa_20150710_1423.gml.lp.gr.bz2,243.0,29.0,288.0,1884.0,4.0,0.006654084397986837
yolobus_20121208_0411_subgraph_metro+bus.gr.bz2,518.0,10.0,537.0,2291.0,3.0,0.0022374162706022957
fuzix_devf_fd_transfer.gr.bz2,115.0,4.0,119.0,459.0,3.0,0.009186725537672696
bkv-zrt_20120422_0314_subgraph_metro+tram.gr.bz2,305.0,4.0,332.0,1047.0,3.0,0.003103046627598005
go-transit-city-of-oshkosh_20151216_1805.gr.bz2,243.0,4.0,249.0,981.0,3.0,0.00450187848166861
u1060.tsp-pp.dgf.bz2,777.0,31.0,1054.0,7397.0,6.0,0.002824675500197322
municipal-transit-utility_20150309_2012.gr.bz2,314.0,5.0,332.0,1288.0,3.0,0.003612637862628763
he116.gr.xz,1103.0,954.0,2200.0,111994.0,6.0,0.004853239075612882
Promedas_16.gr.xz,930.0,87.0,1191.0,8082.0,5.0,0.001711011860663661
ex187.gr.xz,201.0,12.0,240.0,1058.0,4.0,0.007897489539748954
rpsrute@ruter.no_20150416_0935_subgraph_train+metro+tram.gr.bz2,167.0,5.0,179.0,563.0,3.0,0.005900445671960329
southern_nevada_2016-01.gml.lp.gr.bz2,296.0,34.0,350.0,2329.0,4.0,0.00504297994269341
ddly22000_20141210_1905_subgraph_train+metro+tram+bus.gr.bz2,198.0,6.0,228.0,740.0,3.0,0.006511322358760337
sacramento_2015-12.gml.lp.gr.bz2,331.0,19.0,382.0,2171.0,4.0,0.004610353025243572
ex001.gr,188.0,13.0,262.0,1287.0,4.0,0.009476177941563569
city-of-lodi-transitgrapeline_20130618_0428_subgraph_tram+bus.gr.bz2,161.0,9.0,169.0,736.0,4.0,0.007959988729219498
mountain-rides-transportation-authority-mrta_20140624_0104_subgraph_train+metro+tram+bus.gr.bz2,179.0,8.0,191.0,780.0,3.0,0.0068613943235050975
timt4stic_20110831_0329_subgraph_bus.gr.bz2,2804.0,14.0,2893.0,12091.0,3.0,0.00040745558865559495
cary-transit_20150227_1731_subgraph_bus.gr.bz2,177.0,4.0,193.0,714.0,4.0,0.005936960276338514
nevada-county-gold-country-stage_20150716_2005_subgraph_metro+bus.gr.bz2,216.0,6.0,223.0,895.0,4.0,0.005332686947036723
he165.gr.xz,4046.0,3082.0,11304.0,841410.0,11.0,0.0027324209625875775
hampton-roads-transit-hrt_20150930_1511_subgraph_tram+bus.gr.bz2,1998.0,13.0,2089.0,8769.0,3.0,0.0006378053991992356
Promedas_61_8.gr.xz,122.0,15.0,156.0,837.0,4.0,0.012613730355665839
utah-transit-authority_20151217_1021_subgraph_tram+bus.gr.bz2,5913.0,28.0,6036.0,25609.0,3.0,0.00018694790659522567
washington_dc_2015-12.gml.lp.gr.bz2,1781.0,31.0,2130.0,11282.0,3.0,0.0008853811769946436
mulsol.i.2-pp.dgf.bz2,58.0,33.0,116.0,1549.0,20.0,0.18500749625187407
p654.tsp-pp.dgf.bz2,484.0,13.0,644.0,3868.0,6.0,0.00431063628372439
omnitrans_20151217_1124_subgraph_bus.gr.bz2,2142.0,11.0,2188.0,8887.0,3.0,0.0005257926805312095
tus_20150914_2049.gr.bz2,246.0,9.0,264.0,1179.0,3.0,0.005804240119829473
ex125.gr.xz,112.0,80.0,320.0,6060.0,18.0,0.08681426332288401
he020.gr.xz,723.0,31.0,849.0,4218.0,4.0,0.002087639175945063
le450_15b-pp.dgf.bz2,145.0,292.0,448.0,9426.0,5.0,0.04078279801853627
go-transit_20151219_0133_subgraph_bus.gr.bz2,766.0,12.0,830.0,3299.0,3.0,0.001624834682517767
Promedas_22_6.gr.xz,167.0,14.0,200.0,1085.0,5.0,0.01042713567839196
sonomacounty-ca-us-archiver_20151217_1056.gml.lp.gr.bz2,212.0,10.0,259.0,1176.0,4.0,0.007138367603483882
delaware-department-of-transportation_20101101_1838_subgraph_tram+bus.gr.bz2,2438.0,16.0,2554.0,10638.0,3.0,0.0004924573206211557
kingston-transit_20140526_1325.gr.bz2,831.0,13.0,849.0,3568.0,3.0,0.0013445340800497811
yolobus_20121208_0411_subgraph_train+metro+tram+bus.gr.bz2,518.0,10.0,537.0,2291.0,3.0,0.0022374162706022957
action_20150129_0101_subgraph_train+metro+tram+bus.gr.bz2,2457.0,18.0,2530.0,11381.0,3.0,0.0004784030932878217
rkfs.edge.bz2,113.0,6.0,122.0,487.0,3.0,0.011177347242921014
ex077.gr.xz,180.0,11.0,237.0,929.0,4.0,0.007562754773653722
c880.isc.cnf.gr.xz,287.0,25.0,363.0,2386.0,4.0,0.007343652496841849
nc-state-university-wolfline_20150227_1735.gr.bz2,101.0,8.0,109.0,486.0,4.0,0.012317363234794428
mldickens_20150211_2214_subgraph_metro+bus.gr.bz2,2501.0,26.0,2568.0,10888.0,3.0,0.00046829092471301824
norwalk-transit_20130330_0324.gr.bz2,228.0,6.0,250.0,957.0,3.0,0.00485140562248996
cit-chambly-richelieu-carignan_20151217_1358_subgraph_metro+bus.gr.bz2,232.0,5.0,248.0,945.0,3.0,0.00499542901919812
iniset.edge.bz2,463.0,3.0,465.0,1698.0,3.0,0.0021551724137931034
schwer_20151004_1324.gr.bz2,100.0,6.0,115.0,428.0,3.0,0.017848970251716247
he079.gr.xz,6.0,120.0,125.0,678.0,105.0,0.4490967741935484
ex064.gr.xz,534.0,8.0,589.0,2530.0,3.0,0.0023821073420879388
smart_20101107_0850_subgraph_metro+bus.gr.bz2,129.0,5.0,143.0,556.0,3.0,0.009504579927115139
ex127.gr.xz,193.0,12.0,228.0,1019.0,4.0,0.010182394311770615
citybus_20151001_1343_subgraph_bus.gr.bz2,816.0,11.0,831.0,3504.0,4.0,0.001348353703623157
portland-metro-area.gml.lp.gr.bz2,588.0,23.0,693.0,3692.0,3.0,0.0025711282936716462
massachusetts-archiver_20151219_0121_subgraph_tram+bus.gr.bz2,6826.0,45.0,7112.0,30711.0,3.0,0.00017218526913498773
broward-county-transit_20150417_1831_subgraph_train+metro+tram+bus.gr.bz2,3313.0,22.0,3422.0,14288.0,3.0,0.00037901495746609924
kingcounty_2016-01.gml.lp.gr.bz2,416.0,21.0,486.0,2629.0,4.0,0.003788553731279963
north-county-transit-district_20150930_1532.gml.lp.gr.bz2,217.0,9.0,256.0,1198.0,3.0,0.006939338235294117
cascades-east-transit_20151217_0811_subgraph_train+metro+tram+bus.gr.bz2,186.0,4.0,207.0,750.0,3.0,0.00595656864124572
he016.gr.xz,650.0,47.0,790.0,4477.0,4.0,0.0024434069724535144
eastern-sierra-transit-authority_20151216_1744_subgraph_train+metro+tram+bus.gr.bz2,107.0,6.0,120.0,449.0,3.0,0.010994397759103642
thomaskoch_20130224_1543_subgraph_train+metro+tram+bus.gr.bz2,1171.0,54.0,1428.0,8915.0,3.0,0.0021474602454857206
svd.edge.bz2,300.0,5.0,320.0,1234.0,3.0,0.004036050156739812
capital-area-transit_20150218_1730_subgraph_bus.gr.bz2,1160.0,10.0,1211.0,4862.0,3.0,0.0009956937439859143
metro-transit-city-of-madison_20151217_0832_subgraph_metro+bus.gr.bz2,2028.0,18.0,2096.0,9436.0,3.0,0.000565914846326222
s-potniki-promet-doo_20141212_1812_subgraph_train+metro+tram+bus.gr.bz2,228.0,4.0,262.0,879.0,3.0,0.005615512854259893
long-island-bus_20110825_1140.gr.bz2,3178.0,14.0,3272.0,13274.0,3.0,0.0003546764595739846
bangladesh-railways_20131212_2148_subgraph_train.gr.bz2,120.0,6.0,136.0,515.0,3.0,0.013180827886710239
celar08-wpp.dgf.bz2,101.0,17.0,190.0,1013.0,5.0,0.02832080200501253
pvta_20151217_1050_subgraph_train+metro+tram+bus.gr.bz2,1865.0,18.0,1938.0,8589.0,3.0,0.0006526535294170925
BAY.gr.xz,307033.0,64.0,321270.0,1359953.0,3.0,3.8503947835402756e-06
ecobici.stats_20141007_2248_subgraph_metro.gr.bz2,183.0,2.0,194.0,549.0,3.0,0.0048875594252443776
ex179.gr.xz,156.0,12.0,187.0,875.0,4.0,0.009947674084296474
advbnd.edge.bz2,184.0,4.0,196.0,735.0,3.0,0.006331763474620618
milwaukee_2016-01.gml.lp.gr.bz2,1089.0,23.0,1269.0,6824.0,3.0,0.0014927673495362603
kolumbus_20151219_0149_subgraph_metro+bus.gr.bz2,2004.0,19.0,2157.0,8917.0,3.0,0.0006401473220467856
dimacs_inithx.i.2.gr.bz2,173.0,29.0,299.0,3614.0,6.0,0.05793360418396894
fpsol2.i.2-pp.dgf.bz2,202.0,32.0,333.0,5544.0,21.0,0.07154745106552335
ruter.no_20151217_2005.gr.bz2,11769.0,444.0,12455.0,77016.0,3.0,0.00012069143472466836
rtc-ride_20141220_0137_subgraph_train+metro+tram+bus.gr.bz2,759.0,9.0,827.0,3142.0,3.0,0.0014858688746336565
blacksburg-transit_20140809_0113_subgraph_metro+bus.gr.bz2,277.0,11.0,291.0,1272.0,4.0,0.004408105225737646
lakeland_20110518_2050.gml.lp.gr.bz2,97.0,6.0,110.0,510.0,3.0,0.016180150125104254
he097.gr.xz,1304.0,84.0,1545.0,8919.0,4.0,0.0012249107097942553
tptmdz_20150710_1428_subgraph_bus.gr.bz2,2654.0,67.0,2908.0,16337.0,3.0,0.0006724980588050756
york-region-transit_20151219_0115_subgraph_metro+bus.gr.bz2,3420.0,24.0,3655.0,16060.0,3.0,0.00038329151494866857
ex143.gr.xz,83.0,37.0,130.0,753.0,4.0,0.03935599284436494
